ses_01, ses_02, ses_03, ses_04, subject_ID, task_ID
1, 1, 1, 1, 0229, 3dmotion
2, 2, 2, 2, 0229, 3dmotion
3, 3, 3, 3, 0229, 3dmotion
4, 4, 4, 4, 0229, 3dmotion
5, 5, 5, 5, 0229, 3dmotion
6, 6, 6, 6, 0229, 3dmotion
7, 7, 7, 7, 0229, 3dmotion
8, 8, 8, 8, 0229, 3dmotion
9, 9, 9, 9, 0229, 3dmotion
10, 10, 10, 10, 0229, 3dmotion
